drain_t TotalCurrent(IdVg_VdSat_n1109_des) X,drain_t TotalCurrent(IdVg_VdSat_n1109_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1045_des) X,drain_t TotalCurrent(IdVg_VdSat_n1045_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1125_des) X,drain_t TotalCurrent(IdVg_VdSat_n1125_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1061_des) X,drain_t TotalCurrent(IdVg_VdSat_n1061_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1141_des) X,drain_t TotalCurrent(IdVg_VdSat_n1141_des) Y,drain_t TotalCurrent(IdVg_VdSat_n865_des) X,drain_t TotalCurrent(IdVg_VdSat_n865_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1157_des) X,drain_t TotalCurrent(IdVg_VdSat_n1157_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1077_des) X,drain_t TotalCurrent(IdVg_VdSat_n1077_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1173_des) X,drain_t TotalCurrent(IdVg_VdSat_n1173_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1093_des) X,drain_t TotalCurrent(IdVg_VdSat_n1093_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1189_des) X,drain_t TotalCurrent(IdVg_VdSat_n1189_des) Y,drain_t TotalCurrent(IdVg_VdSat_n622_des) X,drain_t TotalCurrent(IdVg_VdSat_n622_des) Y
0.3685512,9.02E-07,0.36809157,9.62E-07,0.36788214,9.57E-07,0.3685512,9.97E-07,0.3685512,1.03E-06,0.3685512,1.08E-06,0.3685512,1.12E-06,0.3685512,1.15E-06,0.3685512,1.17E-06,0.3685512,1.19E-06,0.36832139,1.20E-06,0.36832139,1.22E-06
0.3835512,1.36E-06,0.38309157,1.44E-06,0.38288214,1.44E-06,0.3835512,1.51E-06,0.3835512,1.56E-06,0.3835512,1.60E-06,0.3835512,1.64E-06,0.3835512,1.68E-06,0.3835512,1.71E-06,0.3835512,1.75E-06,0.38332139,1.77E-06,0.38332139,1.80E-06
0.3985512,1.94E-06,0.39809157,2.12E-06,0.39788214,2.10E-06,0.3985512,2.18E-06,0.3985512,2.27E-06,0.3985512,2.35E-06,0.3985512,2.41E-06,0.3985512,2.45E-06,0.3985512,2.48E-06,0.3985512,2.51E-06,0.39832139,2.52E-06,0.39832139,2.54E-06
0.4135512,2.65E-06,0.41309157,3.02E-06,0.41288214,3.03E-06,0.4135512,3.13E-06,0.4135512,3.20E-06,0.4135512,3.29E-06,0.4135512,3.39E-06,0.4135512,3.47E-06,0.4135512,3.53E-06,0.4135512,3.58E-06,0.41332139,3.59E-06,0.41332139,3.62E-06
0.4285512,3.47E-06,0.42809157,4.18E-06,0.42788214,4.18E-06,0.4285512,4.34E-06,0.4285512,4.46E-06,0.4285512,4.57E-06,0.4285512,4.65E-06,0.4285512,4.72E-06,0.4285512,4.80E-06,0.4285512,4.88E-06,0.42832139,4.93E-06,0.42832139,4.98E-06
0.4435512,4.38E-06,0.44309157,5.59E-06,0.44288214,5.67E-06,0.4435512,5.80E-06,0.4435512,5.97E-06,0.4435512,6.14E-06,0.4435512,6.27E-06,0.4435512,6.36E-06,0.4435512,6.43E-06,0.4435512,6.49E-06,0.44332139,6.52E-06,0.44332139,6.59E-06
0.4585512,5.35E-06,0.45809157,7.22E-06,0.45788214,7.46E-06,0.4585512,7.63E-06,0.4585512,7.77E-06,0.4585512,7.96E-06,0.4585512,8.16E-06,0.4585512,8.32E-06,0.4585512,8.43E-06,0.4585512,8.51E-06,0.45832139,8.55E-06,0.45832139,8.61E-06
0.4735512,6.35E-06,0.47309157,9.06E-06,0.47288214,9.55E-06,0.4735512,9.80E-06,0.4735512,9.94E-06,0.4735512,1.02E-05,0.4735512,1.03E-05,0.4735512,1.05E-05,0.4735512,1.07E-05,0.4735512,1.08E-05,0.47332139,1.09E-05,0.47332139,1.10E-05
0.4885512,7.36E-06,0.48809157,1.10E-05,0.48788214,1.19E-05,0.4885512,1.23E-05,0.4885512,1.25E-05,0.4885512,1.27E-05,0.4885512,1.29E-05,0.4885512,1.31E-05,0.4885512,1.33E-05,0.4885512,1.34E-05,0.48832139,1.36E-05,0.48832139,1.37E-05
0.5035512,8.37E-06,0.50309157,1.31E-05,0.50288214,1.46E-05,0.5035512,1.50E-05,0.5035512,1.53E-05,0.5035512,1.56E-05,0.5035512,1.58E-05,0.5035512,1.61E-05,0.5035512,1.63E-05,0.5035512,1.64E-05,0.50332139,1.65E-05,0.50332139,1.67E-05
0.5185512,9.35E-06,0.51809157,1.52E-05,0.51788214,1.75E-05,0.5185512,1.81E-05,0.5185512,1.84E-05,0.5185512,1.87E-05,0.5185512,1.90E-05,0.5185512,1.93E-05,0.5185512,1.95E-05,0.5185512,1.97E-05,0.51832139,1.99E-05,0.51832139,2.00E-05
0.5335512,1.03E-05,0.53309157,1.73E-05,0.53288214,2.05E-05,0.5335512,2.14E-05,0.5335512,2.18E-05,0.5335512,2.22E-05,0.5335512,2.25E-05,0.5335512,2.28E-05,0.5335512,2.31E-05,0.5335512,2.34E-05,0.53332139,2.35E-05,0.53332139,2.37E-05
0.5485512,1.12E-05,0.54809157,1.94E-05,0.54788214,2.36E-05,0.5485512,2.48E-05,0.5485512,2.53E-05,0.5485512,2.58E-05,0.5485512,2.62E-05,0.5485512,2.65E-05,0.5485512,2.69E-05,0.5485512,2.71E-05,0.54832139,2.73E-05,0.54832139,2.75E-05
0.5635512,1.20E-05,0.56309157,2.13E-05,0.56288214,2.66E-05,0.5635512,2.84E-05,0.5635512,2.90E-05,0.5635512,2.95E-05,0.5635512,3.00E-05,0.5635512,3.04E-05,0.5635512,3.07E-05,0.5635512,3.10E-05,0.56332139,3.12E-05,0.56332139,3.15E-05
0.5785512,1.28E-05,0.57809157,2.31E-05,0.57788214,2.95E-05,0.5785512,3.20E-05,0.5785512,3.27E-05,0.5785512,3.33E-05,0.5785512,3.38E-05,0.5785512,3.43E-05,0.5785512,3.47E-05,0.5785512,3.50E-05,0.57832139,3.52E-05,0.57832139,3.55E-05
0.5935512,1.35E-05,0.59309157,2.46E-05,0.59288214,3.22E-05,0.5935512,3.55E-05,0.5935512,3.64E-05,0.5935512,3.71E-05,0.5935512,3.76E-05,0.5935512,3.81E-05,0.5935512,3.86E-05,0.5935512,3.89E-05,0.59332139,3.92E-05,0.59332139,3.95E-05
0.6,1.37E-05,0.6,2.53E-05,0.6,3.34E-05,0.6,3.69E-05,0.6,3.80E-05,0.6,3.87E-05,0.6,3.93E-05,0.6,3.98E-05,0.6,4.02E-05,0.6,4.06E-05,0.6,4.09E-05,0.6,4.12E-05
